qid	order	query	qld.map
713	relevancefeedback.topn10.qld	chesapeake bay maryland clean http marina bai	0.1184
714	-1	License restrictions older drivers	0.0769
714	docluster.topn10.3.qld	license restrictions older drivers renew driver restrict licens	0.1231
714	relevancefeedback.topn10.qld	license restrictions older drivers renew licens driver restrict	0.1231
714	rm3.topn10.10.0.5.qld	license restrictions older drivers driver renew licens	0.1031
715	-1	Schizophrenia drugs	0.0737
715	docluster.topn10.3.qld	schizophrenia drugs patient	0.1008
716	-1	Spammer arrest sue	0.0532
716	sensedisambiguation.replace	spammer halt sue	0.1288
716	conceptluster.topn5.3.qld	spammer arrest sue arrest lawsuit spamming	0.1245
716	tagmee.topn3	spammer arrest sue Spamming Arrest Lawsuit	0.1245
716	sensedisambiguation	Spammer arrest halt sue	0.0953
716	stem.lovins	spammer arrest su	0.0772
716	tagmee.topn3.replace	Spamming Arrest Lawsuit	0.07
717	-1	Gifted talented student programs	0.1056
717	word2vec.topn3	gifted talented student programs talented skilled gifted skilled multi talented teacher programmes	0.1201
717	relevancefeedback.topn10.qld	gifted talented student programs gift g	0.119
717	conceptluster.topn5.3.qld	gifted talented student programs student gifted education master business administration	0.1145
717	tagmee.topn3	gifted talented student programs Gifted education Student Master of Business Administration	0.1145
717	termluster.topn5.3.qld	gifted talented student programs academ curriculum develop student school requir perform school talent texa teacher state	0.1103
718	-1	Controlling acid rain	0.1113
719	-1	Cruise ship damage sea life	0.0312
719	tagmee.topn3	cruise ship damage sea life Cruise ship Marine biology	0.0536
719	tagmee.topn3.replace	Cruise ship Marine biology	0.049
719	glove.topn3	cruise ship damage sea life ship vessel caused ocean waters lives even	0.0433
719	wiki.topn3	cruise ship damage sea life cruisline cruise ship templates holland america line cruise ship plankton oceanography ocean current marine biology	0.0347
719	anchor.topn3	cruise ship damage sea life kommuna cunnari communa normalhöhennul trsa vega apicomplexan kdblife nánjīng small	0.0336
719	wiki.topn3.replace	cruisline cruise ship templates holland america line cruise ship plankton oceanography ocean current marine biology	0.033
720	-1	Federal welfare reform	0.0556
720	docluster.topn10.3.qld	federal welfare reform welfar state	0.0833
720	rm3.topn10.10.0.5.bm25	federal welfare reform state welfar	0.0833
720	relevancefeedback.topn10.qld	federal welfare reform welfar immigr state we	0.0672
720	rm3.topn10.10.0.5.qld	federal welfare reform state welfar immigr	0.0658
721	-1	Census data applications	0.0088
721	stem.trunc5	censu data appli	0.017
721	glove.topn3	census data applications population inhabitants information analysis applying	0.0097
721	tagmee.topn3	census data applications Census Data Application software	0.0094
722	-1	Iran terrorism	0.2975
722	word2vec.topn3	iran terrorism iranian Iran iran terrorist	0.3095
722	glove.topn3	iran terrorism tehran iranian terrorist	0.2985
723	-1	Executive privilege	0.0901
723	rm3.topn10.10.0.5.qld	executive privilege presid privileg	0.2571
723	rm3.topn10.10.0.5.bm25	executive privilege privileg presid see attornei	0.2439
724	-1	Iran Contra	0.1415
724	rm3.topn10.10.0.5.bm25	iran contra casei cia defend record	0.2418
724	relevancefeedback.topn10.qld	iran contra defend cia casei	0.2305
724	rm3.topn10.10.0.5.qld	iran contra casei cia defend	0.2305
724	conceptnet.topn3	iran contra Nicaraguan	0.1656
725	-1	Low white blood cell count	0.09
725	relevancefeedback.topn10.qld	low white blood cell count platelet your	0.1
726	-1	Hubble telescope repairs	0.206
727	-1	Church arson	0.3459
727	sensedisambiguation	Church church service arson	0.4205
727	wordnet.topn3	church arson church service church building Christian church incendiarism fire raising	0.3757
727	termluster.topn5.3.qld	church arson arson feder fire church feder fire	0.352
728	-1	whales save endangered	0.1226
728	docluster.topn10.3.qld	whales save endangered whale	0.1418
728	relevancefeedback.topn10.qld	whales save endangered whale endang	0.1362
728	rm3.topn10.10.0.5.qld	whales save endangered whale endang	0.1362
728	sensedisambiguation	whales whale save write endangered queer	0.1275
729	-1	Whistle blower department of defense	0.0023
729	glove.topn3	whistle blower department defense blowing whistleblower administration defence	0.0804
729	word2vec.topn3	whistle blower department defense swanee whistle blowing dept defence	0.0476
729	conceptluster.topn5.3.qld	whistle blower department defense whistleblower united states department defense	0.0271
729	tagmee.topn3	whistle blower department defense Whistleblower United States Department of Defense	0.0271
729	glove.topn3.replace	blowing whistleblower administration defence	0.013
729	tagmee.topn3.replace	Whistleblower United States Department of Defense	0.0095
729	termluster.topn5.3.qld	whistle blower department defense said new govern depart govern said whistl said new	0.0062
729	stem.paicehusk	whistl blow depart of defens	0.0048
729	wiki.topn3	whistle blower department defense grounds termination employment insider trading conflict interest whistleblower nuclear weapons infrastructure united states military industrial complex government agencies established united states department defense	0.0046
729	word2vec.topn3.replace	swanee whistle blowing dept defence	0.0035
730	-1	Gastric bypass complications	0.4508
730	termluster.topn5.3.qld	gastric bypass complications bypass complic obes complic gastric obes weight veri surgeri	0.4823
730	docluster.topn10.3.qld	gastric bypass complications you weight surgeri	0.4761
730	conceptluster.topn5.3.qld	gastric bypass complications gastric bypass surgery complication medicine	0.4696
730	tagmee.topn3	gastric bypass complications Gastric bypass surgery Complication medicine	0.4696
730	relevancefeedback.topn10.qld	gastric bypass complications you surgeri obes weight oper	0.4683
730	rm3.topn10.10.0.5.bm25	gastric bypass complications you weight obes surgeri	0.4656
730	rm3.topn10.10.0.5.qld	gastric bypass complications you weight obes surgeri health	0.4538
731	-1	Kurds history	0.0203
731	conceptnet.topn3.replace	kurds past subject school	0.161
731	word2vec.topn3	kurds history kurdish history	0.1319
731	glove.topn3	kurds history kurdish sunnis historical ever	0.1223
731	stem.paicehusk	kurd hist	0.1001
731	stem.trunc4	kurd hist	0.1001
731	conceptnet.topn3	kurds history past subject school	0.0887
731	stem.lovins	kurd histor	0.0809
731	glove.topn3.replace	kurdish sunnis historical ever	0.0753
731	word2vec.topn3.replace	kurdish history	0.0552
731	sensedisambiguation	Kurds kurd history	0.0489
731	wiki.topn3.replace	kurdistan mahabad mahabad kurds history academidisciplines literature history	0.0369
731	wiki.topn3	kurds history kurdistan mahabad mahabad kurds history academidisciplines literature history	0.0348
731	anchor.topn3.replace	kurds recuyel seeg théodrat	0.0298
731	wordnet.topn3.replace	kurds account chronicle	0.0257
732	-1	U.S. cheese production	0.0085
732	wordnet.topn3	u s cheese production United States government USA US cheeseflower high mallow output yield	0.0394
732	glove.topn3	u s cheese production us u s cheddar producing produced	0.0329
732	rm3.topn10.10.0.5.qld	u s cheese production product dairi export import milk u cooper	0.0314
732	rm3.topn10.10.0.5.bm25	u s cheese production product milk dairi import export	0.0293
732	word2vec.topn3.replace	usa u s american cheddar producing	0.0258
732	glove.topn3.replace	us u s cheddar producing produced	0.0215
732	word2vec.topn3	u s cheese production usa u s american cheddar producing	0.0185
732	relevancefeedback.topn10.qld	u s cheese production b chees milk import u i product	0.0094
733	-1	Airline overbooking	0.2811
733	termluster.topn5.3.qld	airline overbooking ticket overbook flight ticket flight airlin	0.3499
733	tagmee.topn3	airline overbooking Airline Overselling	0.3094
733	conceptluster.topn5.3.qld	airline overbooking overselling	0.3034
733	rm3.topn10.10.0.5.bm25	airline overbooking airlin consum your you	0.2902
733	docluster.topn10.3.qld	airline overbooking airlin consum you	0.2842
733	relevancefeedback.topn10.qld	airline overbooking airlin consum you	0.2842
733	rm3.topn10.10.0.5.qld	airline overbooking airlin you consum	0.2842
734	-1	Recycling successes	0.0809
735	-1	Afghan women condition	0.0927
735	wiki.topn3	afghan women condition states territories established territories military occupation education afghanistan afghanistan women afghanistan afghan peacjirga afghan presidential election women s rights afghanistan	0.1501
735	wiki.topn3.replace	states territories established territories military occupation education afghanistan afghanistan women afghanistan afghan peacjirga afghan presidential election women s rights afghanistan	0.1195
736	-1	location BSE infections	0.1919
737	-1	Enron California energy crisis	0.2743
738	-1	Anthrax hoaxes	0.3146
738	docluster.topn10.3.qld	anthrax hoaxes hoax	0.462
738	termluster.topn5.3.qld	anthrax hoaxes emerg feder hoax year would threat	0.3993
738	relevancefeedback.topn10.qld	anthrax hoaxes hoax u i we	0.3348
738	rm3.topn10.10.0.5.qld	anthrax hoaxes hoax we i	0.3348
738	rm3.topn10.10.0.5.bm25	anthrax hoaxes hoax i we were	0.331
739	-1	Habitat for Humanity	0.0382
739	sensedisambiguation	Habitat for Humanity world	0.0428
740	-1	regulate assisted living Maryland	0.1694
741	-1	Artificial Intelligence	0.025
741	conceptnet.topn3.replace	artificial learning United States intelligence agency	0.0449
741	conceptnet.topn3	artificial intelligence learning United States intelligence agency	0.0311
741	sensedisambiguation	Artificial Intelligence news	0.0255
742	-1	hedge funds fraud protection	0.2041
742	stem.trunc5	hedge funds fraud prote	0.2635
742	conceptluster.topn5.3.qld	hedge funds fraud protection security finance hedge fund fraud	0.2506
742	tagmee.topn3	hedge funds fraud protection Hedge fund Fraud Security finance	0.2506
742	tagmee.topn3.replace	Hedge fund Fraud Security finance	0.2393
742	docluster.topn10.3.qld	hedge funds fraud protection fund	0.2122
742	rm3.topn10.10.0.5.qld	hedge funds fraud protection fund	0.2122
743	-1	Freighter ship registration	0.0147
743	conceptluster.topn5.3.qld	freighter ship registration ship registration cargo ship	0.0754
743	tagmee.topn3	freighter ship registration Cargo ship Cargo ship Ship registration	0.0683
743	termluster.topn5.3.qld	freighter ship registration vessel	0.0466
743	word2vec.topn3	freighter ship registration cargo tanker vessel warship registering	0.0457
743	glove.topn3	freighter ship registration ship vessel voter identification	0.0435
743	bertqe.topn10.bm25	under flag conveni nation secur	0.0347
743	stem.lovins	freighter ship register	0.0301
743	tagmee.topn3.replace	Cargo ship Cargo ship Ship registration	0.0241
743	wordnet.topn3	freighter ship registration merchantman bottom merchant ship transport embark enrolment adjustment readjustment	0.0231
744	-1	Counterfeit ID punishments	0.0
744	glove.topn3	counterfeit id punishments fake identification meted	0.0529
744	glove.topn3.replace	fake identification meted	0.0105
744	stem.paicehusk	counterfeit id pun	0.0007
744	conceptnet.topn3	counterfeit id punishments Idaho buying a beer Sentences	0.0004
744	sensedisambiguation.replace	counterfeit idaho punishment	0.0004
744	wiki.topn3	counterfeit id punishments counterfeiters forgery theft counterfeit transactional analysis brief reactivpsychosis neurosis id ego super ego necessity retributivjustice mobbing punishment	0.0004
744	conceptnet.topn3.replace	counterfeit Idaho buying a beer Sentences	0.0002
744	wiki.topn3.replace	counterfeiters forgery theft counterfeit transactional analysis brief reactivpsychosis neurosis id ego super ego necessity retributivjustice mobbing punishment	0.0001
745	-1	Doomsday cults	0.4984
745	termluster.topn5.3.qld	doomsday cults number new	0.5003
746	-1	Outsource job India	0.3152
746	anchor.topn3	outsource job india yustino ndugai nilgri india histori olatpur	0.328
747	-1	Library computer oversight	0.0552
747	tagmee.topn3	library computer oversight Library Computer Regulation	0.0721
747	docluster.topn10.3.qld	library computer oversight librari comput cost	0.0658
747	rm3.topn10.10.0.5.qld	library computer oversight librari cost comput	0.0658
747	rm3.topn10.10.0.5.bm25	library computer oversight cost comput exce	0.0565
747	relevancefeedback.topn10.qld	library computer oversight librari comput cost h	0.0564
747	conceptluster.topn5.3.qld	library computer oversight regulation computer	0.0556
748	-1	Nuclear reactor types	0.0391
749	-1	Puerto Rico state	0.1397
749	glove.topn3	puerto rico state rico rican puerto pwehr federal	0.2481
749	glove.topn3.replace	rico rican puerto pwehr federal	0.1956
750	-1	John Edwards womens issues	0.0284
751	-1	Scrabble Players	0.2139
751	rm3.topn10.10.0.5.bm25	scrabble players friendship home number video rockvil	0.2182
752	-1	Dam removal	0.2294
753	-1	bullying prevention programs	0.2582
753	rm3.topn10.10.0.5.qld	bullying prevention programs bulli program school	0.311
753	rm3.topn10.10.0.5.bm25	bullying prevention programs bulli school	0.2631
754	-1	domestic adoption laws	0.0258
754	rm3.topn10.10.0.5.qld	domestic adoption laws adopt	0.0461
754	rm3.topn10.10.0.5.bm25	domestic adoption laws visit adopt section court shall	0.0356
754	docluster.topn10.3.qld	domestic adoption laws law adopt	0.0304
755	-1	Scottish Highland Games	0.4493
755	tagmee.topn3	scottish highland games Scottish people Highland games Highland games	0.4788
755	wiki.topn3	scottish highland games scottish people scottish society fife scottish people highland games angus graham strongman ballachulish highland games highland games angus graham strongman ballachulish highland games	0.4511
756	-1	Volcanic Activity	0.0647
756	relevancefeedback.topn10.qld	volcanic activity volcan volcano lake erupt activ	0.1015
756	glove.topn3	volcanic activity eruptions lava suggesting	0.0939
756	rm3.topn10.10.0.5.qld	volcanic activity volcano volcan mount lake lassen	0.0785
756	wiki.topn3	volcanic activity volcanoes magma volcanirocks volcano volcanoes magma volcanirocks volcano	0.0716
756	rm3.topn10.10.0.5.bm25	volcanic activity volcano lake helen mount lassen baker volcan	0.0711
757	-1	Murals	0.045
757	termluster.topn5.3.qld	murals panel artist	0.0577
757	docluster.topn10.3.qld	murals mural your	0.0493
757	wordnet.topn3	murals wall painting	0.0451
758	-1	Embryonic stem cells	0.1943
758	glove.topn3	embryonic stem cells stem embryo embryonic tissues	0.2362
758	bertqe.topn10.qld	iii what embryon stem cell	0.2246
758	glove.topn3.replace	stem embryo embryonic tissues	0.2143
758	termluster.topn5.3.qld	embryonic stem cells yet would work adult also ani yet would work	0.2037
759	-1	civil war battle reenactments	0.17
759	rm3.topn10.10.0.5.qld	civil war battle reenactments park reenact program florida	0.2698
759	word2vec.topn3	civil war battle reenactments rights era civl conflict skirmish re enactments re enactment	0.1905
759	rm3.topn10.10.0.5.bm25	civil war battle reenactments reenact park manassa file	0.1714
760	-1	american muslim mosques schools	0.1189
760	conceptnet.topn3.replace	dollar muslim mosques an eraser places to learn things classrooms	0.2102
760	conceptnet.topn3	american muslim mosques schools dollar an eraser places to learn things classrooms	0.2089
760	stem.krovetz	america muslim mosque school	0.2081
760	wiki.topn3.replace	american people immigration united states ethnigroups united states americans muslim american society thmosqucares islam washington d c islam united states quraniwords phrases muslims islam muslim mosques mosque architecture islamiculture mosque athari hanbali muwatta imam malik madhhab	0.1838
760	wiki.topn3	american muslim mosques schools american people immigration united states ethnigroups united states americans muslim american society thmosqucares islam washington d c islam united states quraniwords phrases muslims islam muslim mosques mosque architecture islamiculture mosque athari hanbali muwatta imam malik madhhab	0.1797
760	conceptluster.topn5.3.qld	american muslim mosques schools americans islam united states mosque muslim madhhab	0.1514
760	tagmee.topn3	american muslim mosques schools Americans Islam in the United States Muslim Mosque Madhhab	0.1514
760	word2vec.topn3	american muslim mosques schools british america islamic moslem masjids colleges universities	0.1261
760	termluster.topn5.3.qld	american muslim mosques schools also america commun also america american york year washington york year washington	0.1244
760	tagmee.topn3.replace	Americans Islam in the United States Muslim Mosque Madhhab	0.1207
760	docluster.topn10.3.qld	american muslim mosques schools islam i saudi	0.1195
760	relevancefeedback.topn10.qld	american muslim mosques schools islam i saudi	0.1195
760	rm3.topn10.10.0.5.bm25	american muslim mosques schools islam saudi i	0.1195
760	rm3.topn10.10.0.5.qld	american muslim mosques schools islam saudi i	0.1195
761	-1	Problems of Hmong Immigrants	0.2256
762	-1	History of Physicians in America	0.0071
763	-1	Hunting deaths	0.046
763	glove.topn3	hunting deaths hunters fatalities	0.2411
763	glove.topn3.replace	hunters fatalities	0.0916
764	-1	Increase mass transit use	0.0479
765	-1	ephedra ma huang deaths	0.2742
765	glove.topn3	ephedra huang deaths ephedrine supplements cheng yu fatalities	0.3546
765	rm3.topn10.10.0.5.qld	ephedra ma huang deaths ephedrin heart supplement	0.3391
765	rm3.topn10.10.0.5.bm25	ephedra ma huang deaths ephedrin supplement heart drug	0.3303
765	relevancefeedback.topn10.qld	ephedra ma huang deaths ephedrin heart drug product supplement	0.3229
765	docluster.topn10.3.qld	ephedra ma huang deaths ephedrin	0.3084
765	thesaurus.topn3	ephedra huang deaths	0.3032
765	thesaurus.topn3.replace	ephedra huang deaths	0.3032
765	termluster.topn5.3.qld	ephedra huang deaths advers case contain advers case contain supplement public product	0.291
765	sensedisambiguation	ephedra ma huang deaths end	0.2766
766	-1	diamond smuggling	0.2857
766	wiki.topn3	diamond smuggling impact event minerals abrasives semiconductor materials diamond politics liberia people extradited liberia people extradited sierra leone blood diamond contraband customs sabotage smuggling	0.3096
766	tagmee.topn3.replace	Diamond Blood diamond Smuggling	0.2986
767	-1	Pharmacist License requirements	0.134
767	rm3.topn10.10.0.5.bm25	pharmacist license requirements shall drug board pharmaci	0.1455
768	-1	Women in state legislatures	0.0908
769	-1	Kroll Associates Employees	0.0046
769	wiki.topn3	kroll associates employees general atlantic wilson sonsini goodrich rosati asia kroll inc	0.0196
769	wiki.topn3.replace	general atlantic wilson sonsini goodrich rosati asia kroll inc	0.0196
769	relevancefeedback.topn10.qld	kroll associates employees train mr wage illinoi law fraser gepner	0.0137
769	conceptnet.topn3.replace	kroll associates a company the office company	0.0071
770	-1	Kyrgyzstan-United States relations	0.1142
770	termluster.topn5.3.qld	kyrgyzstan united states relations unit kyrgyzstan	0.1482
770	docluster.topn10.3.qld	kyrgyzstan united states relations kyrgyzstan trade state central	0.1265
771	-1	deformed leopard frogs	0.3091
771	rm3.topn10.10.0.5.bm25	deformed leopard frogs frog hind rana malform	0.4266
771	anchor.topn3.replace	deformed v g leopard nimrs frogs	0.3298
772	-1	flag display rules	0.2408
772	termluster.topn5.3.qld	flag display rules abov alwai america weather wai vertic	0.3358
772	word2vec.topn3	flag display rules flag regulations laws	0.2967
772	word2vec.topn3.replace	flag display regulations laws	0.2594
773	-1	Pennsylvania slot machine gambling	0.4615
773	termluster.topn5.3.qld	pennsylvania slot machine gambling citat code enforc bureau control credit video three suprem video three suprem	0.7439
773	anchor.topn3	pennsylvania slot machine gambling pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ	0.666
773	sensedisambiguation	Pennsylvania university of pennsylvania slot machine gambling gamble	0.5692
773	docluster.topn10.3.qld	pennsylvania slot machine gambling machin license	0.5011
773	anchor.topn3.replace	pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ machine gambling	0.4796
774	-1	Causes of Homelessness	0.0786
774	wiki.topn3	causes homelessness arthritis sepsis symptoms signs vascular paralysis homelessness homeless shelters homeless shelter homelessness	0.1148
774	wiki.topn3.replace	arthritis sepsis symptoms signs vascular paralysis homelessness homeless shelters homeless shelter homelessness	0.0934
775	-1	Commercial candy makers	0.0419
775	wiki.topn3	commercial candy makers marshmallow caramel snack food candy	0.0928
775	conceptnet.topn3	commercial candy makers commercialised chocolate sugar the movies	0.0772
775	wiki.topn3.replace	marshmallow caramel snack food candy	0.0762
775	rm3.topn10.10.0.5.qld	commercial candy makers candi all shall industri chocol	0.0471
776	-1	Magnet schools success	0.0721
776	relevancefeedback.topn10.qld	magnet schools success school student	0.0894
776	rm3.topn10.10.0.5.bm25	magnet schools success school msap	0.0815
777	-1	hybrid alternative fuel cars	0.0925
777	wiki.topn3	hybrid alternative fuel cars powertrain ac propulsion automotivaerodynamics hybrid vehicle alternative fuels miles per gallon gasolinequivalent hybrid vehicldrivetrain alternative fuel vehicle	0.1213
777	rm3.topn10.10.0.5.qld	hybrid alternative fuel cars hydrogen vehicl	0.1026
777	glove.topn3	hybrid alternative fuel cars concept preferable gasoline vehicles	0.1024
777	sensedisambiguation	hybrid alternative fuel cars car	0.093
778	-1	golden ratio	0.0896
778	rm3.topn10.10.0.5.bm25	golden ratio mathemat face similar dr	0.1575
779	-1	Javelinas range and description	0.2772
779	docluster.topn10.3.qld	javelinas range and description road rang area	0.2809
779	stem.paicehusk	javelina rang and describ	0.2789
780	-1	Arable land	0.0612
780	docluster.topn10.3.qld	arable land perman or claim	0.0805
780	relevancefeedback.topn10.qld	arable land perman or claim	0.0805
780	rm3.topn10.10.0.5.qld	arable land perman or claim	0.0805
780	anchor.topn3.replace	arable technohub marinefährprahm	0.0668
781	-1	Squirrel control and protections	0.1092
782	-1	Orange varieties seasons	0.3217
782	rm3.topn10.10.0.5.bm25	orange varieties seasons crop fruit box	0.3893
782	relevancefeedback.topn10.qld	orange varieties seasons crop orang fruit box	0.3854
782	rm3.topn10.10.0.5.qld	orange varieties seasons fruit season box	0.3727
782	docluster.topn10.3.qld	orange varieties seasons fruit box	0.3676
782	sensedisambiguation.replace	orange variety show season	0.3408
782	sensedisambiguation	Orange varieties variety show seasons season	0.3373
783	-1	school mercury poisoning	0.1186
783	termluster.topn5.3.qld	school mercury poisoning also mercuri program work school program work school program	0.1956
783	glove.topn3	school mercury poisoning students piyanart srivalo contamination	0.1805
783	conceptluster.topn5.3.qld	school mercury poisoning shoaling schooling mercury poisoning	0.1456
783	tagmee.topn3	school mercury poisoning Shoaling and schooling Mercury poisoning	0.1456
783	tagmee.topn3.replace	Shoaling and schooling Mercury poisoning	0.1448
784	-1	mersenne primes	0.4507
784	glove.topn3	mersenne primes proth frahd reciprocals nasdaq	0.5201
784	docluster.topn10.3.qld	mersenne primes prime number gener	0.4817
784	termluster.topn5.3.qld	mersenne primes prime number number mersenn	0.4521
784	sensedisambiguation	mersenne primes prime	0.4515
785	-1	Ivory-billed woodpecker	0.1572
785	termluster.topn5.3.qld	ivory billed woodpecker wood tree speci	0.1753
786	-1	Yew trees	0.1022
786	conceptnet.topn3	yew trees wood Pacific yew leaves squirrel	0.1364
786	termluster.topn5.3.qld	yew trees forest tree bark yew wood speci	0.1197
786	sensedisambiguation	Yew trees tree	0.1037
787	-1	Sunflower Cultivation	0.2268
788	-1	Reverse mortgages	0.3143
789	-1	abandoned mine reclamation	0.0593
789	termluster.topn5.3.qld	abandoned mine reclamation site reclam project abandon coal reclam site project pennsylvania	0.1305
789	glove.topn3	abandoned mine reclamation leaving reclaimed dredging	0.082
789	conceptluster.topn5.3.qld	abandoned mine reclamation mining mine reclamation	0.0649
789	tagmee.topn3	abandoned mine reclamation Mining Mine reclamation	0.0649
790	-1	women's rights in Saudi Arabia	0.4166
791	-1	Gullah geechee language culture	0.3272
791	wiki.topn3	gullah geechee language culture gullah language igbo landing africanisms gullah gullah language igbo landing africanisms gullah languages african diaspora liberian english merico language gullah language sociology culture society counterculture culture	0.4309
791	tagmee.topn3.replace	Gullah Gullah Gullah language Culture	0.4175
791	stem.porter	gullah geeche languag cultur	0.4133
791	stem.porter2	gullah geeche languag cultur	0.4133
791	tagmee.topn3	gullah geechee language culture Gullah Gullah Gullah language Culture	0.3833
791	termluster.topn5.3.qld	gullah geechee language culture countri geeche nation site nation gullah studi special public	0.3698
791	wiki.topn3.replace	gullah language igbo landing africanisms gullah gullah language igbo landing africanisms gullah languages african diaspora liberian english merico language gullah language sociology culture society counterculture culture	0.3673
791	conceptluster.topn5.3.qld	gullah geechee language culture culture gullah language	0.3626
791	anchor.topn3	gullah geechee language culture gullah island binyah ambelau	0.3564
791	anchor.topn3.replace	gullah island binyah ambelau geechee language culture	0.3541
791	word2vec.topn3.replace	gullah geechee langauge traditions	0.3491
791	rm3.topn10.10.0.5.qld	gullah geechee language culture studi cultur peopl african comment award altern	0.3422
791	relevancefeedback.topn10.qld	gullah geechee language culture studi african cultur peopl comment award altern countri	0.3276
792	-1	Social Security means test	0.0582
792	docluster.topn10.3.qld	social security means test secur earn benefit	0.0795
792	relevancefeedback.topn10.qld	social security means test program secur benefit earn	0.0634
792	rm3.topn10.10.0.5.qld	social security means test secur earn program benefit	0.0634
793	-1	Bagpipe Bands	0.0823
793	termluster.topn5.3.qld	bagpipe bands pipe	0.1382
793	tagmee.topn3.replace	Bagpipes Military band	0.1311
793	wiki.topn3	bagpipe bands tin whistle great highland bagpipe chanter bagpipes military bands bugle military tattoo military band	0.1201
793	conceptluster.topn5.3.qld	bagpipe bands bagpipes military band	0.1138
793	tagmee.topn3	bagpipe bands Bagpipes Military band	0.1138
793	relevancefeedback.topn10.qld	bagpipe bands band i irish hazard	0.0979
793	docluster.topn10.3.qld	bagpipe bands band	0.0973
793	wiki.topn3.replace	tin whistle great highland bagpipe chanter bagpipes military bands bugle military tattoo military band	0.0841
793	rm3.topn10.10.0.5.bm25	bagpipe bands band irish trad i idoc bnl mississippi game inform	0.0833
794	-1	pet therapy	0.0366
794	conceptluster.topn5.3.qld	pet therapy animal assisted therapy	0.1748
794	tagmee.topn3	pet therapy Animal assisted therapy	0.1748
794	glove.topn3	pet therapy dog treatments	0.0861
794	conceptnet.topn3	pet therapy dog a dog	0.0659
794	tagmee.topn3.replace	Animal assisted therapy	0.0546
795	-1	notable cocker spaniels	0.0118
795	conceptnet.topn3.replace	luminary noteworthy far famed pamper cocker spaniel indulge spaniels	0.071
795	conceptnet.topn3	notable cocker spaniels luminary noteworthy far famed pamper cocker spaniel indulge	0.0654
795	stem.paicehusk	not cock spaniel	0.027
795	wiki.topn3.replace	labradoodle pointer dog breed show dog cocker spaniel foxhound basset fauvdbretagne welsh springer spaniel spaniel	0.0204
795	termluster.topn5.3.qld	notable cocker spaniels english spaniel english cocker	0.0183
795	rm3.topn10.10.0.5.bm25	notable cocker spaniels terrier ye dog	0.0182
795	rm3.topn10.10.0.5.qld	notable cocker spaniels terrier ye dog	0.0182
795	stem.krovetz	notable cock spaniel	0.0176
795	word2vec.topn3	notable cocker spaniels noteworthy noteable note worthy spaniel spaniels	0.0161
795	wordnet.topn3.replace	leading light noteworthy famous mollycoddle English cocker spaniel cocker spaniel spaniels	0.0161
795	relevancefeedback.topn10.qld	notable cocker spaniels terrier p dog ye	0.0146
