,qid,order,query,bm25.ndcg
175,329,word2vec.topn3,mexican air pollution mexico air water,0.5037
176,330,-1,Iran-Iraq Cooperation,0.1171
177,330,bt_bing_arabic,Iranian Iraqi cooperation,0.3451
178,330,bt_bing_german,Iranian Iraqi cooperation,0.3451
179,330,stem.trunc4,iran iraq coop,0.3424
180,330,stem.trunc5,iran iraq coope,0.3424
181,330,bt_bing_chinese_simplified,Iran Iraqi cooperation,0.2999
182,330,anchor.topn3,iran iraq cooperation iran iraq iran iraq eritrean ethiopian,0.2918
183,330,anchor.topn3.replace,iran iraq iran iraq eritrean ethiopian cooperation,0.2559
184,330,relevancefeedback.topn10.qld,iran iraq cooperation turkei islam iran we countri contain iraq iraqi,0.1889
185,330,bt_bing_french,Cooperation between Iran and Iraq,0.1787
186,330,bt_nllb_german,Cooperation between Iran and Iraq,0.1787
187,330,glove.topn3,iran iraq cooperation iraq iran soviet afghan bilateral strengthen,0.1434
188,330,word2vec.topn3,iran iraq cooperation co operation collaboration,0.1178
189,331,-1,World Bank Criticism,0.3363
190,332,-1,Income Tax Evasion,0.1474
191,332,bertqe.topn10.bm25,tax evas connect j david,0.2481
192,332,wiki.topn3,income tax evasion bank fraud arrest warrant plea bargain tax evasion bank fraud arrest warrant plea bargain tax evasion,0.2452
193,332,relevancefeedback.topn10.bm25,income tax evasion both yuan incom rmb hunter sturman,0.1774
194,332,tagmee.topn3,income tax evasion Tax evasion Tax evasion,0.1537
195,332,wiki.topn3.replace,bank fraud arrest warrant plea bargain tax evasion bank fraud arrest warrant plea bargain tax evasion,0.1531
196,332,conceptluster.topn5.3.bm25,income tax evasion tax evasion,0.1507
197,332,conceptluster.topn5.3.qld,income tax evasion tax evasion,0.1507
198,333,-1,Antibiotics Bacteria Disease,0.4352
199,333,word2vec.topn3,antibiotics bacteria disease anti biotics antimicrobials microbes microorganisms bacterium infection,0.4938
200,333,sensedisambiguation,Antibiotics antibiotic Bacteria Disease,0.4898
201,333,tagmee.topn3,antibiotics bacteria disease Antibiotics Bacteria Infection,0.4828
202,333,bt_nllb_french,Antibiotics for bacteria,0.4811
203,333,stem.porter,antibiot bacteria diseas,0.4811
204,333,stem.porter2,antibiot bacteria diseas,0.4811
205,333,relevancefeedback.topn10.qld,antibiotics bacteria disease antibiot biosensor pneumonia diseas syndrom tb strep tick plagu,0.4735
206,333,conceptluster.topn5.3.bm25,antibiotics bacteria disease infection,0.455
207,333,conceptluster.topn5.3.qld,antibiotics bacteria disease infection,0.455
208,333,wiki.topn3,antibiotics bacteria disease bactericides staphylococcus pancreas antibiotics prokaryotes bacteriology bacteria bacteria antibiotics urinary bladder pancreas infection,0.4505
209,333,relevancefeedback.topn10.bm25,antibiotics bacteria disease antibiot pneumonia plagu strep syndrom diseas infect cancer,0.4495
210,333,tagmee.topn3.replace,Antibiotics Bacteria Infection,0.4425
211,333,bt_bing_swahili,Ugonjwa wa Bacteria ya Antibiotics,0.439
212,333,stem.lovins,antibiot bacter diseas,0.4367
213,333,stem.paicehusk,antibiot bacter diseas,0.4367
214,334,-1,Export Controls Cryptography,0.235
215,334,bt_bing_chinese_simplified,Export Control Encryption,0.73
216,334,bt_bing_korean,Export Control Encryption,0.73
217,334,bt_nllb_arabic,Export control Encryption,0.73
218,334,bt_nllb_tamil,Encryption of export controls,0.73
219,334,word2vec.topn3,export controls cryptography import encryption cryptographic cryptology,0.6087
220,334,word2vec.topn3.replace,import controls encryption cryptographic cryptology,0.5098
221,334,bt_nllb_chinese_yue,Export controls the password,0.3833
222,334,wiki.topn3,export controls cryptography outlinof cryptography glossary cryptographic keys plaintext cryptography,0.2741
223,335,-1,Adoptive Biological Parents,0.503
224,335,conceptnet.topn3,adoptive biological parents surrogate name children name their babies family,0.7355
225,335,conceptnet.topn3.replace,surrogate biological name children name their babies family,0.6174
226,335,tagmee.topn3,adoptive biological parents Adoption Biology Parent,0.5537
227,335,relevancefeedback.topn10.qld,adoptive biological parents adopt her anim child sabol,0.5509
228,335,bt_bing_russian,Adoptive parents of biological parents,0.5485
229,335,sensedisambiguation,Adoptive Biological Parents parent,0.5485
230,335,relevancefeedback.topn10.bm25,adoptive biological parents child her adopt kiefer sabol plant program,0.5331
231,336,-1,Black Bear Attacks,0.1371
232,336,conceptnet.topn3,black bear attacks oil coal color animal grizzly polar,0.2264
233,336,conceptnet.topn3.replace,oil coal color animal grizzly polar attacks,0.1964
234,336,conceptluster.topn5.3.bm25,black bear attacks american black bear bear attack,0.1741
235,336,conceptluster.topn5.3.qld,black bear attacks american black bear bear attack,0.1741
236,336,tagmee.topn3,black bear attacks American black bear Bear attack,0.1741
237,336,tagmee.topn3.replace,American black bear Bear attack,0.1489
238,337,-1,Viral Hepatitis,0.3693
239,337,bt_bing_malay,Hepatitis Virus,0.4534
240,337,relevancefeedback.topn10.bm25,viral hepatitis percent omit caus diseas individu vaccinia liver hepat,0.4355
241,337,relevancefeedback.topn10.qld,viral hepatitis hepat diseas worker region health individu percent omit,0.4021
242,337,word2vec.topn3,viral hepatitis bacterial phylodynamics HCV anti hepatitis,0.3948
243,337,wiki.topn3,viral hepatitis opportunistic infection attenuated vaccine rapid plasma reagin viral hepatitis,0.3907
244,337,bt_nllb_tamil,Hepatitis is a viral disease,0.3752
245,338,-1,Risk of Aspirin,0.5585
246,338,relevancefeedback.topn10.qld,risk of aspirin sai stroke peopl kidnei your,0.6367
247,338,bt_nllb_persian,The risks of aspirin use,0.5856
248,338,bt_nllb_russian,Risks of using aspirin,0.5856
249,338,relevancefeedback.topn10.bm25,risk of aspirin stroke sai vaccin bayer kidnei,0.5856
250,339,-1,Alzheimer's Drug Treatment,0.4573
251,339,conceptluster.topn5.3.bm25,alzheimer s drug treatment psychoactive drug addiction alzheimer s disease,0.5631
252,339,conceptluster.topn5.3.qld,alzheimer s drug treatment psychoactive drug addiction alzheimer s disease,0.5631
253,339,relevancefeedback.topn10.bm25,alzheimer s drug treatment alzheim dollar group diseas summer,0.5419
254,339,wiki.topn3,alzheimer s drug treatment dementia aphasias unsolved problems neuroscience alzheimer s disease dementia aphasias unsolved problems neuroscience alzheimer s disease opiate empathogen entactogen antidepressant psychoactive drug substancusdisorder behavioral addiction stress psychological addiction,0.4913
255,339,rm3.topn10.10.0.5.bm25,Alzheimers Drug Treatment,0.463
256,339,rm3.topn10.10.0.5.qld,Alzheimers Drug Treatment,0.463
257,339,stem.lovins,alzheimer s drug treatm,0.4625
258,340,-1,Land Mine Ban,0.2795
259,340,bt_bing_russian,Ban on anti personnel mines,0.3402
260,340,bt_bing_arabic,Landmine Ban,0.313
261,340,bt_bing_french,Ban on landmines,0.313
262,340,bt_bing_german,Ban on landmines,0.313
263,340,bt_bing_tamil,Landmine ban,0.313
264,340,bt_nllb_arabic,The landmine ban,0.313
265,340,bt_bing_korean,Prohibition of Landmines,0.2949
266,340,bt_bing_persian,Prohibition of landmines,0.2949
267,340,bt_nllb_french,Prohibition of landmines,0.2949
268,340,bt_nllb_german,Prohibition of landmines,0.2949
269,340,bt_nllb_persian,Prohibition of landmines,0.2949
270,340,bt_bing_chinese_simplified,Mine ban,0.2834
271,340,bt_nllb_chinese_yue,Banned mines,0.2834
272,340,bt_nllb_korean,Mine ban,0.2834
273,341,-1,Airport Security,0.4103
274,341,sensedisambiguation,Airport Security security system,0.4509
275,341,bt_bing_korean,Airport Security Screening,0.4495
276,341,wiki.topn3,airport security computer assisted passenger prescreening system shobomb plot richard reid airport security,0.4226
277,342,-1,Diplomatic Expulsion,0.2892
278,342,glove.topn3,diplomatic expulsion relations expelled expel,0.5237
279,342,conceptnet.topn3,diplomatic expulsion forcing out ejection,0.3354
280,342,wordnet.topn3,diplomatic expulsion extrusion projection forcing out,0.3313
281,343,-1,Police Deaths,0.0191
282,343,bt_bing_chinese_simplified,The policeman died,0.2065
283,343,word2vec.topn3.replace,cops policemen fatalities killings,0.1325
284,343,bt_bing_russian,Deaths of police officers,0.0812
285,343,word2vec.topn3,police deaths cops policemen fatalities killings,0.0687
286,343,glove.topn3.replace,officers policemen fatalities,0.0586
287,343,wiki.topn3,police deaths publisafety crime prevention law enforcement police life senescence disease death,0.0481
288,343,sensedisambiguation,Police Deaths end,0.0436
289,343,glove.topn3,police deaths officers policemen fatalities,0.0405
290,343,wordnet.topn3,police deaths patrol police force dying last,0.0392
291,343,bt_nllb_malay,Death of a cop,0.0366
292,343,conceptnet.topn3,police deaths chief fighting war love,0.0366
293,343,bt_bing_german,Deaths in the police force,0.0364
294,343,relevancefeedback.topn10.bm25,police deaths he constitut ingel freewai hanson shoot were hi i,0.0354
295,343,wiki.topn3.replace,publisafety crime prevention law enforcement police life senescence disease death,0.0282
296,343,bt_bing_korean,Police Death Case,0.0253
297,343,bt_nllb_chinese_yue,The police are dead,0.0204
298,343,bt_nllb_korean,Police dead,0.0204
299,343,bt_nllb_persian,The police are dead,0.0204
300,343,bt_nllb_russian,The police are dead,0.0204
301,344,-1,Abuses of E-Mail,0.4393
302,344,sensedisambiguation,Abuses misuse of E Mail electronic mail,0.7732
303,344,stem.lovins,abus of e mail,0.5788
304,344,stem.paicehusk,abus of e mail,0.5788
305,344,stem.porter,abus of e mail,0.5788
306,344,stem.porter2,abus of e mail,0.5788
307,344,stem.trunc4,abus of e mail,0.5788
308,344,sensedisambiguation.replace,misuse of electronic mail,0.5728
309,344,bt_nllb_malay,Breach of e mail,0.5698
310,345,-1,Overseas Tobacco Sales,0.2642
311,345,relevancefeedback.topn10.bm25,overseas tobacco sales compani rate dollar per,0.3846
312,345,word2vec.topn3,overseas tobacco sales abroad stateside cigarettes smoking marketing,0.3212
313,345,tagmee.topn3,overseas tobacco sales Tobacco Sales tax,0.2977
314,345,conceptluster.topn5.3.bm25,overseas tobacco sales sales tax,0.2965
315,345,conceptluster.topn5.3.qld,overseas tobacco sales sales tax,0.2965
316,345,bt_nllb_arabic,Tobacco sales outside,0.2924
317,345,glove.topn3,overseas tobacco sales abroad elsewhere cigarette cigarettes retail selling,0.2849
318,345,bt_bing_arabic,Tobacco sales abroad,0.2796
319,345,bt_bing_korean,Tobacco sales abroad,0.2796
320,345,bt_bing_swahili,Tobacco sales abroad,0.2796
321,345,bt_nllb_french,Tobacco sales abroad,0.2796
322,345,bt_nllb_malay,Tobacco sales abroad,0.2796
323,345,bt_nllb_persian,The sale of tobacco abroad,0.2796
324,345,bt_nllb_russian,The sale of tobacco abroad,0.2796
325,345,bt_nllb_tamil,The sale of tobacco abroad,0.2796
326,345,glove.topn3.replace,abroad elsewhere cigarette cigarettes retail selling,0.2733
327,346,-1,Educational Standards,0.1869
328,346,conceptnet.topn3,educational standards school,0.2713
329,346,conceptnet.topn3.replace,school standards,0.2226
330,346,relevancefeedback.topn10.bm25,educational standards hungarian class admiss educ children standard x stonehil test railroad,0.1878
331,347,-1,Wildlife Extinction,0.1563
332,347,bt_nllb_chinese_yue,Wildlife is disappearing,0.2407
333,347,bt_bing_german,Extinction of wild animals,0.2325
334,347,bt_nllb_korean,Extinction of the Wild,0.2076
335,347,bt_nllb_persian,Extinction of the wild,0.2076
336,347,bt_nllb_russian,Extinction of the wild,0.2076
337,347,tagmee.topn3,wildlife extinction Wildlife Quaternary extinction event,0.1662
338,347,wordnet.topn3.replace,wildlife experimental extinction extermination,0.1642
339,347,bt_bing_tamil,Wildlife destruction,0.1591
340,348,-1,Agoraphobia,0.9068
341,349,-1,Metabolism,0.3448
342,350,-1,Health and Computer Terminals,0.2143
343,351,-1,Falkland petroleum exploration,0.5303
344,351,bt_bing_german,Oil exploration in the Falkland Islands,0.7711
345,351,bt_bing_russian,Oil exploration in the Falkland Islands,0.7711
346,351,bt_nllb_arabic,Oil exploration in the Falkland Islands,0.7711
347,351,bt_nllb_french,Oil exploration in the Falkland Islands,0.7711
348,351,bt_nllb_german,Oil exploration in the Falkland Islands,0.7711
349,351,bt_nllb_russian,Oil exploration in the Falkland Islands,0.7711
350,351,relevancefeedback.topn10.bm25,falkland petroleum exploration island oil argentina ga,0.7521
351,351,wiki.topn3.replace,falkland islands list falkland islands related topics index falkland islands related articles falkland islands glassforming liquids melts oil natural gas petroleum extraction petroleum tight oil oil place hydrocarbon exploration,0.729
352,351,bt_bing_arabic,Oil exploration in the Falklands,0.7219
353,351,bt_bing_chinese_simplified,Falkland Oil Exploration,0.7219
354,351,bt_bing_french,Oil exploration in the Falklands,0.7219
355,351,bt_bing_korean,Falkland Oil Exploration,0.7219
356,351,bt_bing_persian,Falklands Oil Exploration,0.7219
357,351,bt_bing_swahili,Falkland oil exploration,0.7219
358,351,bt_nllb_chinese_yue,The Falkland oil exploration,0.7219
359,351,bt_nllb_persian,The Falkland oil exploration,0.7219
360,351,bt_nllb_tamil,The Falkland oil exploration,0.7219
361,351,relevancefeedback.topn10.qld,falkland petroleum exploration island argentina oil dollar ga,0.7198
362,351,wiki.topn3,falkland petroleum exploration falkland islands list falkland islands related topics index falkland islands related articles falkland islands glassforming liquids melts oil natural gas petroleum extraction petroleum tight oil oil place hydrocarbon exploration,0.714
363,351,bt_nllb_swahili,The Falkland oil field,0.7125
364,351,bt_nllb_malay,Confirmation of the Falkland oil,0.7106
365,351,anchor.topn3.replace,okino tori shima dispute post war malvinas falkland shahne petroleum oil exploration,0.6822
366,351,conceptluster.topn5.3.bm25,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum,0.6417
367,351,conceptluster.topn5.3.qld,falkland petroleum exploration falkland islands hydrocarbon exploration petroleum,0.6417
368,351,tagmee.topn3,falkland petroleum exploration Falkland Islands Petroleum Hydrocarbon exploration,0.6417
369,351,anchor.topn3,falkland petroleum exploration okino tori shima dispute post war malvinas falkland shahne petroleum oil,0.6408
370,351,tagmee.topn3.replace,Falkland Islands Petroleum Hydrocarbon exploration,0.6248
371,352,-1,British Chunnel impact,0.1282
372,352,relevancefeedback.topn10.qld,british chunnel impact tunnel i freight govern ha de hous project,0.2879
373,352,wordnet.topn3,british chunnel impact British people Brits Channel Tunnel affect touch bear on,0.2765
374,352,relevancefeedback.topn10.bm25,british chunnel impact tunnel freight project life govern have telex i dollar,0.269
375,352,wordnet.topn3.replace,British people Brits Channel Tunnel affect touch bear on,0.2466
376,352,bt_nllb_french,The impact of the British Channel,0.1685
377,352,bt_nllb_persian,The impact of the British Channel,0.1685
378,353,-1,Antarctica exploration,0.4228
379,353,bt_nllb_russian,Conducting Antarctic research,0.5813
380,353,bt_nllb_swahili,The Antarctic,0.5116
381,353,stem.paicehusk,antarctic expl,0.4963
382,353,bt_nllb_tamil,The study of Antarctica,0.4882
383,353,bt_bing_swahili,Antarctica Survey,0.4605
384,353,bt_bing_french,Antarctic Exploration,0.4572
385,353,bt_bing_malay,Antarctic Exploration,0.4572
386,353,bt_bing_persian,Antarctic exploration,0.4572
387,353,bt_bing_tamil,Antarctic Exploration,0.4572
388,353,bt_nllb_chinese_yue,Exploring the Antarctic,0.4572
389,353,bt_nllb_french,Exploration of the Antarctic,0.4572
390,353,bt_nllb_korean,The Antarctic exploration,0.4572
391,353,bt_nllb_malay,Exploration of the Antarctic,0.4572
392,353,stem.lovins,antarctic explor,0.4572
393,353,glove.topn3,antarctica exploration antarctic greenland,0.4571
394,353,word2vec.topn3.replace,antarctic antartica antartic exploratory,0.4477
395,354,-1,journalist risks,0.0584
396,354,anchor.topn3,journalist risks wrigley mil faj journalists,0.0881
397,354,glove.topn3,journalist risks reporter photographer dangers,0.0818
398,354,bt_bing_korean,Dangers for Journalists,0.0654
399,355,-1,ocean remote sensing,0.3238
400,355,relevancefeedback.topn10.bm25,ocean remote sensing satellit studi observ develop m system research stone,0.5167
401,355,relevancefeedback.topn10.qld,ocean remote sensing satellit observ research expens studi system technolog feinstein,0.5011
402,356,-1,postmenopausal estrogen Britain,0.0665
403,356,word2vec.topn3.replace,post menopausal premenopausal pre menopausal oestrogen progesterone britian Britian british,0.3833
404,356,glove.topn3.replace,premenopausal post menopausal progesterone hormone british uk,0.3174
